date,United States,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2018-02-03,1099345.0,1772.0,20727.0,11523.0,31416.0,54573.0,13294.0,12833.0,4553.0,135617.0,35454.0,6343.0,8314.0,5705.0,39816.0,14748.0,5829.0,10088.0,16100.0,11649.0,11390.0,3344.0,25688.0,11562.0,25586.0,8348.0,3386.0,34216.0,2575.0,4042.0,3919.0,6888.0,8301.0,11948.0,73105.0,35776.0,15644.0,12858.0,48260.0,4111.0,25610.0,2426.0,23223.0,77044.0,6226.0,32887.0,1864.0,11340.0,13107.0,3657.0,2513.0
2018-02-10,1102526.0,1767.0,20775.0,11519.0,31871.0,55681.0,13398.0,12419.0,4588.0,136856.0,35462.0,6387.0,8319.0,5626.0,39944.0,14686.0,5797.0,10037.0,16152.0,11566.0,11423.0,3285.0,25377.0,11655.0,25542.0,8381.0,3369.0,34198.0,2577.0,3946.0,3862.0,6922.0,8232.0,12129.0,74362.0,35668.0,15628.0,12784.0,48175.0,4085.0,25598.0,2434.0,23193.0,77354.0,6293.0,33087.0,1837.0,11184.0,13094.0,3647.0,2501.0
2018-02-17,1107448.0,1765.0,20888.0,11542.0,32220.0,56705.0,13521.0,12463.0,4637.0,137838.0,35542.0,6423.0,8346.0,5595.0,40138.0,14662.0,5790.0,10070.0,16213.0,11593.0,11489.0,3236.0,25046.0,11842.0,25561.0,8422.0,3367.0,34292.0,2578.0,3877.0,3810.0,6955.0,8165.0,12282.0,75406.0,35642.0,15629.0,12771.0,48186.0,4072.0,25652.0,2437.0,23235.0,77735.0,6347.0,33466.0,1819.0,11077.0,13162.0,3635.0,2483.0
2018-02-24,1112877.0,1775.0,20971.0,11557.0,32455.0,57809.0,13646.0,12545.0,4692.0,138802.0,35618.0,6465.0,8360.0,5569.0,40423.0,14624.0,5780.0,10122.0,16322.0,11641.0,11568.0,3195.0,24781.0,12041.0,25608.0,8426.0,3364.0,34395.0,2579.0,3850.0,3790.0,7001.0,8081.0,12442.0,76512.0,35625.0,15569.0,12790.0,48199.0,4072.0,25834.0,2444.0,23267.0,77976.0,6409.0,33874.0,1810.0,11005.0,13287.0,3620.0,2466.0
2018-03-03,1121833.0,1786.0,21099.0,11574.0,32506.0,59143.0,13854.0,12792.0,4750.0,139651.0,35701.0,6655.0,8382.0,5585.0,41248.0,14648.0,5796.0,10171.0,16481.0,11860.0,11697.0,3176.0,24644.0,12347.0,25882.0,8418.0,3368.0,34624.0,2578.0,3838.0,3800.0,7047.0,8018.0,12587.0,78050.0,35678.0,15567.0,12870.0,48417.0,4111.0,25968.0,2454.0,23332.0,78322.0,6495.0,34454.0,1807.0,11010.0,13539.0,3614.0,2454.0
2018-03-10,1133065.0,1836.0,21172.0,11613.0,32486.0,60199.0,14202.0,13167.0,4814.0,140658.0,35907.0,6771.0,8468.0,5653.0,42192.0,14703.0,5820.0,10242.0,16684.0,12177.0,11878.0,3198.0,24677.0,12687.0,26246.0,8422.0,3379.0,34959.0,2585.0,3857.0,3830.0,7131.0,8022.0,12651.0,79038.0,35863.0,15598.0,13033.0,48694.0,4162.0,26133.0,2461.0,23492.0,79005.0,6573.0,35235.0,1812.0,11180.0,13863.0,3629.0,2448.0
2018-03-17,1151108.0,1900.0,21341.0,11668.0,32528.0,61920.0,14677.0,13517.0,4887.0,142062.0,36418.0,6877.0,8599.0,5759.0,43533.0,14806.0,5872.0,10363.0,16980.0,12527.0,12159.0,3226.0,24973.0,13079.0,26868.0,8467.0,3410.0,35550.0,2610.0,3921.0,3893.0,7217.0,8065.0,12746.0,80636.0,36321.0,15722.0,13341.0,49238.0,4222.0,26419.0,2497.0,23740.0,80350.0,6693.0,36193.0,1824.0,11542.0,14271.0,3662.0,2472.0
2018-03-24,1166008.0,1959.0,21509.0,11755.0,32500.0,62948.0,15106.0,13805.0,4934.0,142712.0,36780.0,6944.0,8842.0,5841.0,44590.0,14910.0,5906.0,10443.0,17209.0,12865.0,12381.0,3274.0,25254.0,13479.0,27363.0,8514.0,3436.0,36126.0,2633.0,3977.0,3928.0,7264.0,8096.0,12805.0,81976.0,36619.0,15859.0,13655.0,49654.0,4272.0,26476.0,2540.0,23919.0,81679.0,6827.0,37136.0,1835.0,11875.0,14702.0,3691.0,2507.0
2018-03-31,1174747.0,2011.0,21600.0,11856.0,32458.0,63472.0,15350.0,13978.0,4985.0,142624.0,37007.0,6841.0,8968.0,5890.0,44967.0,14916.0,5931.0,10470.0,17362.0,12986.0,12586.0,3315.0,25464.0,13708.0,27576.0,8574.0,3457.0,36340.0,2659.0,4009.0,3946.0,7298.0,8120.0,12834.0,82917.0,36768.0,15945.0,13877.0,49888.0,4282.0,26557.0,2571.0,24023.0,82728.0,6954.0,37834.0,1846.0,12132.0,14989.0,3719.0,2532.0
2018-04-07,1184601.0,2044.0,21781.0,12043.0,32397.0,64068.0,15613.0,14657.0,5023.0,142282.0,37208.0,6810.0,9080.0,5972.0,45379.0,14834.0,5957.0,10476.0,17466.0,13235.0,12831.0,3337.0,25679.0,13996.0,27737.0,8641.0,3507.0,36478.0,2691.0,4053.0,3993.0,7319.0,8110.0,12870.0,83726.0,36926.0,16096.0,14172.0,50399.0,4326.0,26653.0,2619.0,24141.0,83801.0,7075.0,38659.0,1858.0,12343.0,15298.0,3742.0,2548.0
